Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:17:26,12-02-2024 08:17:26,0.598s,PASSED
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:17:26,12-02-2024 08:17:28,1.752s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/label_Shop Now""), 20)",Chrome 121.0.0.0,,,12-02-2024 08:17:28,12-02-2024 08:17:34,5.867s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/label_Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 08:17:34,12-02-2024 08:17:34,0.257s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/a_Beats Studio 2 Over-Ear Matte Black Headphones""))",Chrome 121.0.0.0,,,12-02-2024 08:17:34,12-02-2024 08:17:38,3.521s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 08:17:38,12-02-2024 08:17:45,7.795s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:17:45,12-02-2024 08:17:54,8.902s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/svgmenuCart""))",Chrome 121.0.0.0,,,12-02-2024 08:17:54,12-02-2024 08:17:54,0.262s,PASSED
takeScreenshot(),Chrome 121.0.0.0,,,12-02-2024 08:17:54,12-02-2024 08:17:56,1.616s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/button_CHECKOUT (179.99)""))",Chrome 121.0.0.0,,,12-02-2024 08:17:56,12-02-2024 08:17:56,0.256s,PASSED
"click(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/button_NEXT""))",Chrome 121.0.0.0,,,12-02-2024 08:17:56,12-02-2024 08:18:00,3.808s,PASSED
"setText(findTestObject(""Object Repository/Transactions/Page_Advantage Shopping/input_safepay_username""), username)",Chrome 121.0.0.0,,,12-02-2024 08:18:00,12-02-2024 08:18:01,0.933s,PASSED
