Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:14:10,12-02-2024 08:14:12,2.463s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:12,12-02-2024 08:14:23,10.169s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:14:23,12-02-2024 08:14:23,0.091s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:14:25,12-02-2024 08:14:25,0.000s,PASSED
,,,,,,,
Test Cases/user/login,Chrome 121.0.0.0,,,12-02-2024 08:14:25,12-02-2024 08:14:43,18.491s,PASSED
"currentUser = new Users(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:25,12-02-2024 08:14:25,0.001s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:14:25,12-02-2024 08:14:25,0.564s,PASSED
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:14:25,12-02-2024 08:14:28,2.388s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:28,12-02-2024 08:14:41,13.390s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:14:41,12-02-2024 08:14:41,0.101s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:14:43,12-02-2024 08:14:43,0.001s,PASSED
,,,,,,,
Test Cases/user/logout,Chrome 121.0.0.0,,,12-02-2024 08:14:43,12-02-2024 08:14:58,14.920s,PASSED
"currentUser = new Users(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:43,12-02-2024 08:14:43,0.004s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:14:43,12-02-2024 08:14:44,0.563s,PASSED
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:14:44,12-02-2024 08:14:46,2.373s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:46,12-02-2024 08:14:55,9.219s,PASSED
users.Operations.Logout(),Chrome 121.0.0.0,,,12-02-2024 08:14:55,12-02-2024 08:14:56,0.613s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:14:56,12-02-2024 08:14:56,0.090s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:14:58,12-02-2024 08:14:58,0.001s,PASSED
,,,,,,,
Test Cases/user/logout,Chrome 121.0.0.0,,,12-02-2024 08:14:58,12-02-2024 08:15:22,23.626s,PASSED
"currentUser = new Users(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:14:58,12-02-2024 08:14:58,0.001s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:14:58,12-02-2024 08:14:59,0.554s,PASSED
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:14:59,12-02-2024 08:15:01,2.342s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:15:01,12-02-2024 08:15:19,18.030s,PASSED
users.Operations.Logout(),Chrome 121.0.0.0,,,12-02-2024 08:15:19,12-02-2024 08:15:20,0.516s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:15:20,12-02-2024 08:15:20,0.081s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:15:22,12-02-2024 08:15:22,0.001s,PASSED
,,,,,,,
Test Cases/user/logout,Chrome 121.0.0.0,,,12-02-2024 08:15:22,12-02-2024 08:15:41,18.949s,PASSED
"currentUser = new Users(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:15:22,12-02-2024 08:15:22,0.001s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:15:22,12-02-2024 08:15:22,0.650s,PASSED
navigateToUrl(webURL),Chrome 121.0.0.0,,,12-02-2024 08:15:22,12-02-2024 08:15:25,2.246s,PASSED
"users.Operations.Login(username, password)",Chrome 121.0.0.0,,,12-02-2024 08:15:25,12-02-2024 08:15:38,13.304s,PASSED
users.Operations.Logout(),Chrome 121.0.0.0,,,12-02-2024 08:15:38,12-02-2024 08:15:39,0.614s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:15:39,12-02-2024 08:15:39,0.107s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:15:41,12-02-2024 08:15:41,0.000s,PASSED
